experiment_level,device,lr,epochs,batch_size,dataset,save_logs,hidden_dim,num_layers,is_logical,l_factor,decision_tree,constrains_handler,test_rate,true_positive,true_negative,false_positive,false_negative,recall,specificity,precision,balanced_accuracy,FPR,ROC_AUC,decision_boundary,model,train_loop,dt_max_depth,dt_attribute_list,model_variant,constrains_type
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLFuzzyBasedHandler,0.7316739761918323,12765,81,62,4649,0.7330308946820184,0.5664335663939557,0.9951664457776602,0.6497322305379871,0.4335664335361142,0.6599312023683219,0.0012166103115305,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLDistanceBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.4999138624095555,9.6492283319094e-07,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLFuzzyBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,3.4479013265809044e-05,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLDistanceBasedHandler,0.0729053938599988,1140,140,3,16274,0.0654645687377595,0.979020978952516,0.9973753280752636,0.5222427738451377,0.0209790209775539,0.5865120580579406,0.0001099448854802,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLFuzzyBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,0.0005482421256601,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLDistanceBasedHandler,0.5579540923848038,9677,119,24,7737,0.5557023084871048,0.8321678321096385,0.9975260282434826,0.6939350702983716,0.1678321678204313,0.7226524193619633,0.0052319765090942,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLFuzzyBasedHandler,0.9786409978925784,17146,36,107,268,0.9846100838400226,0.2517482517306469,0.993798180026086,0.6181791677853348,0.7482517481994229,0.2806226161572435,0.0047497614286839,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLDistanceBasedHandler,0.0388449051660306,539,143,0,16875,0.030952107499695,0.9999999999300698,0.9999999999814472,0.5154760537148825,0.0,0.1159994249462493,0.5007633566856384,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLFuzzyBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.0398588146664407,0.0004537110507953,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.01,,NLDistanceBasedHandler,0.982058438229766,17229,13,130,185,0.9893763638446138,0.0909090909027336,0.992511089347893,0.5401427273736737,0.9090909090273362,0.4982150042446356,0.0010604357812553,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
